k,accuracy
1,0.134125
11,0.339875
21,0.396125
31,0.41975
41,0.435
51,0.455875
61,0.471875
71,0.4795
81,0.48975
91,0.497
101,0.503375
111,0.50825
121,0.5095
131,0.510875
141,0.511
151,0.509875
161,0.511375
171,0.509
181,0.5075
191,0.507625
201,0.506875
211,0.50625
221,0.503625
231,0.5005
241,0.501625
251,0.5
261,0.502
271,0.4985
281,0.49475
291,0.496
301,0.4955
311,0.495125
321,0.494375
331,0.491
341,0.4905
351,0.493125
361,0.48925
371,0.491875
381,0.4875
391,0.482625
401,0.4835
411,0.480125
421,0.476125
431,0.474125
441,0.472625
451,0.470375
461,0.468375
471,0.469
481,0.466375
491,0.46525
501,0.459
511,0.45825
521,0.455375
531,0.451125
541,0.44525
551,0.44
561,0.43775
571,0.432625
581,0.43075
591,0.42775
601,0.42375
611,0.418875
621,0.416875
631,0.413375
641,0.41125
651,0.409
661,0.405625
671,0.402
681,0.3945
691,0.395625
701,0.390875
711,0.391375
721,0.386375
731,0.3825
741,0.3815
751,0.38
761,0.377875
771,0.379125
781,0.377
791,0.373375
801,0.372
811,0.3695
821,0.36725
831,0.367
841,0.364875
851,0.364625
861,0.36275
871,0.3625
881,0.36225
891,0.35925
901,0.35875
911,0.358375
921,0.35575
931,0.353
941,0.35075
951,0.34825
961,0.348625
971,0.347
981,0.346375
991,0.34725
1001,0.3435
1011,0.34275
1021,0.34075
1031,0.33825
1041,0.337125
1051,0.334375
1061,0.333125
1071,0.3325
1081,0.332875
1091,0.332125
1101,0.3315
1111,0.32925
1121,0.33
1131,0.32775
1141,0.3265
1151,0.324125
1161,0.3255
1171,0.322125
1181,0.321875
1191,0.322375
1201,0.321125
1211,0.3205
1221,0.32
1231,0.318
1241,0.318375
1251,0.319625
1261,0.32075
1271,0.31975
1281,0.32
1291,0.319
1301,0.3195
1311,0.31725
1321,0.31525
1331,0.3145
1341,0.3135
1351,0.3135
1361,0.3135
1371,0.3135
1381,0.3135
1391,0.3135
1401,0.3135
1411,0.3135
1421,0.3135
1431,0.3135
1441,0.3135
1451,0.3135
1461,0.3135
1471,0.3135
1481,0.3135
1491,0.3135
1501,0.3135
1511,0.3135
1521,0.3135
1531,0.3135
1541,0.3135
1551,0.3135
1561,0.3135
1571,0.3135
1581,0.3135
1591,0.3135
