k,accuracy
1,0.089375
11,0.491375
21,0.54175
31,0.566
41,0.56425
51,0.57325
61,0.578125
71,0.578
81,0.58
91,0.57975
101,0.578
111,0.57925
121,0.5795
131,0.579375
141,0.579375
151,0.581125
161,0.57975
171,0.581625
181,0.582
191,0.58
201,0.578375
211,0.577875
221,0.577875
231,0.576
241,0.574375
251,0.5735
261,0.574375
271,0.574
281,0.57325
291,0.5725
301,0.573125
311,0.57175
321,0.57125
331,0.57075
341,0.56975
351,0.569625
361,0.570375
371,0.57075
381,0.570375
391,0.56925
401,0.56975
411,0.569875
421,0.5695
431,0.568375
441,0.569
451,0.569125
461,0.56825
471,0.567875
481,0.5685
491,0.5695
501,0.569
511,0.5685
521,0.568625
531,0.56875
541,0.569625
551,0.569125
561,0.568625
571,0.5685
581,0.568125
591,0.568375
601,0.567625
611,0.56775
621,0.56825
631,0.56775
641,0.567125
651,0.56675
661,0.56725
671,0.56675
681,0.566375
691,0.566375
701,0.56625
711,0.566125
721,0.56575
731,0.565375
741,0.565125
751,0.565875
761,0.5655
771,0.56525
781,0.56575
791,0.566
801,0.5655
811,0.5655
821,0.565125
831,0.5655
841,0.564875
851,0.56475
861,0.564375
871,0.564875
881,0.565
891,0.564625
901,0.5645
911,0.564625
921,0.564375
931,0.5645
941,0.5645
951,0.5645
961,0.5645
971,0.564375
981,0.564125
991,0.564125
1001,0.564
1011,0.56425
1021,0.564125
1031,0.56425
1041,0.564375
1051,0.56425
1061,0.56425
1071,0.56425
1081,0.56425
1091,0.564
1101,0.56375
1111,0.56375
1121,0.56375
1131,0.563625
1141,0.563625
1151,0.5635
1161,0.5635
1171,0.563375
1181,0.56325
1191,0.56325
1201,0.56325
1211,0.56325
1221,0.563125
1231,0.563125
1241,0.563125
1251,0.563
1261,0.563
1271,0.563
1281,0.563
1291,0.563
1301,0.563
1311,0.563
1321,0.563
1331,0.563
1341,0.563
1351,0.563
1361,0.563
1371,0.563
1381,0.563
1391,0.563
1401,0.563
1411,0.563
1421,0.563
1431,0.563
1441,0.563
1451,0.563
1461,0.563
1471,0.563
1481,0.563
1491,0.563
1501,0.563
1511,0.563
1521,0.563
1531,0.563
1541,0.563
1551,0.563
1561,0.563
1571,0.563
1581,0.563
1591,0.563
