k,accuracy
1,0.53775
2,0.554875
3,0.566125
4,0.56575
5,0.56475
6,0.56625
7,0.56525
8,0.56275
9,0.56425
10,0.56525
11,0.566
12,0.5645
13,0.564875
14,0.5645
15,0.564625
16,0.564
17,0.563375
18,0.562625
19,0.562625
20,0.562625
21,0.563
22,0.563
23,0.56325
24,0.56325
25,0.563125
26,0.56325
27,0.563125
28,0.563125
29,0.56325
30,0.563125
31,0.563125
32,0.563125
33,0.563
34,0.563
35,0.563
36,0.563
37,0.563
38,0.563
39,0.563
40,0.563
41,0.563
42,0.563
43,0.563
44,0.563
45,0.563
46,0.563
47,0.563
48,0.563
49,0.563
50,0.563
51,0.563
52,0.563
53,0.563
54,0.563
55,0.563
56,0.563
57,0.563
58,0.563
59,0.563
60,0.563
61,0.563
62,0.563
63,0.563
64,0.563
65,0.563
66,0.563
67,0.563
68,0.563
69,0.563
70,0.563
71,0.563
72,0.563
73,0.563
74,0.563
75,0.563
76,0.563
77,0.563
78,0.563
79,0.563
80,0.563
81,0.563
82,0.563
83,0.563
84,0.563
85,0.563
86,0.563
87,0.563
88,0.563
89,0.563
90,0.563
91,0.563
92,0.563
93,0.563
94,0.563
95,0.563
96,0.563
97,0.563
98,0.563
99,0.563
100,0.563
101,0.563
102,0.563
103,0.563
104,0.563
105,0.563
106,0.563
107,0.563
108,0.563
109,0.563
110,0.563
111,0.563
112,0.563
113,0.563
114,0.563
115,0.563
116,0.563
117,0.563
118,0.563
119,0.563
120,0.563
121,0.563
122,0.563
123,0.563
124,0.563
125,0.563
126,0.563
127,0.563
128,0.563
129,0.563
130,0.563
131,0.563
132,0.563
133,0.563
134,0.563
135,0.563
136,0.563
137,0.563
138,0.563
139,0.563
140,0.563
141,0.563
142,0.563
143,0.563
144,0.563
145,0.563
146,0.563
147,0.563
148,0.563
149,0.563
150,0.563
151,0.563
152,0.563
153,0.563
154,0.563
155,0.563
156,0.563
157,0.563
158,0.563
159,0.563
160,0.563
161,0.563
162,0.563
163,0.563
164,0.563
165,0.563
166,0.563
167,0.563
168,0.563
169,0.563
170,0.563
171,0.563
172,0.563
173,0.563
174,0.563
175,0.563
176,0.563
177,0.563
178,0.563
179,0.563
180,0.563
181,0.563
182,0.563
183,0.563
184,0.563
185,0.563
186,0.563
187,0.563
188,0.563
189,0.563
190,0.563
191,0.563
192,0.563
193,0.563
194,0.563
195,0.563
196,0.563
197,0.563
198,0.563
199,0.563
200,0.563
201,0.563
202,0.563
203,0.563
204,0.563
205,0.563
206,0.563
207,0.563
208,0.563
209,0.563
210,0.563
211,0.563
212,0.563
213,0.563
214,0.563
215,0.563
216,0.563
217,0.563
218,0.563
219,0.563
220,0.563
221,0.563
222,0.563
223,0.563
224,0.563
225,0.563
226,0.563
227,0.563
228,0.563
229,0.563
230,0.563
231,0.563
232,0.563
233,0.563
234,0.563
235,0.563
236,0.563
237,0.563
238,0.563
239,0.563
240,0.563
241,0.563
242,0.563
243,0.563
244,0.563
245,0.563
246,0.563
247,0.563
248,0.563
249,0.563
250,0.563
251,0.563
252,0.563
253,0.563
254,0.563
255,0.563
256,0.563
257,0.563
258,0.563
259,0.563
260,0.563
261,0.563
262,0.563
263,0.563
264,0.563
265,0.563
266,0.563
267,0.563
268,0.563
269,0.563
270,0.563
271,0.563
272,0.563
273,0.563
274,0.563
275,0.563
276,0.563
277,0.563
278,0.563
279,0.563
280,0.563
281,0.563
282,0.563
283,0.563
284,0.563
285,0.563
286,0.563
287,0.563
288,0.563
289,0.563
290,0.563
291,0.563
292,0.563
293,0.563
294,0.563
295,0.563
296,0.563
297,0.563
298,0.563
299,0.563
300,0.563
301,0.563
302,0.563
303,0.563
304,0.563
305,0.563
306,0.563
307,0.563
308,0.563
309,0.563
310,0.563
311,0.563
312,0.563
313,0.563
314,0.563
315,0.563
316,0.563
317,0.563
318,0.563
319,0.563
320,0.563
321,0.563
322,0.563
323,0.563
324,0.563
325,0.563
326,0.563
327,0.563
328,0.563
329,0.563
330,0.563
331,0.563
332,0.563
333,0.563
334,0.563
335,0.563
336,0.563
337,0.563
338,0.563
339,0.563
340,0.563
341,0.563
342,0.563
343,0.563
344,0.563
345,0.563
346,0.563
347,0.563
348,0.563
349,0.563
350,0.563
351,0.563
352,0.563
353,0.563
354,0.563
355,0.563
356,0.563
357,0.563
358,0.563
359,0.563
360,0.563
361,0.563
362,0.563
363,0.563
364,0.563
365,0.563
366,0.563
367,0.563
368,0.563
369,0.563
370,0.563
371,0.563
372,0.563
373,0.563
374,0.563
375,0.563
376,0.563
377,0.563
378,0.563
379,0.563
380,0.563
381,0.563
382,0.563
383,0.563
384,0.563
385,0.563
386,0.563
387,0.563
388,0.563
389,0.563
390,0.563
391,0.563
392,0.563
393,0.563
394,0.563
395,0.563
396,0.563
397,0.563
398,0.563
399,0.563
400,0.563
401,0.563
402,0.563
403,0.563
404,0.563
405,0.563
406,0.563
407,0.563
408,0.563
409,0.563
410,0.563
411,0.563
412,0.563
413,0.563
414,0.563
415,0.563
416,0.563
417,0.563
418,0.563
419,0.563
420,0.563
421,0.563
422,0.563
423,0.563
424,0.563
425,0.563
426,0.563
427,0.563
428,0.563
429,0.563
430,0.563
431,0.563
432,0.563
433,0.563
434,0.563
435,0.563
436,0.563
437,0.563
438,0.563
439,0.563
440,0.563
441,0.563
442,0.563
443,0.563
444,0.563
445,0.563
446,0.563
447,0.563
448,0.563
449,0.563
450,0.563
451,0.563
452,0.563
453,0.563
454,0.563
455,0.563
456,0.563
457,0.563
458,0.563
459,0.563
460,0.563
461,0.563
462,0.563
463,0.563
464,0.563
465,0.563
466,0.563
467,0.563
468,0.563
469,0.563
470,0.563
471,0.563
472,0.563
473,0.563
474,0.563
475,0.563
476,0.563
477,0.563
478,0.563
479,0.563
480,0.563
481,0.563
482,0.563
483,0.563
484,0.563
485,0.563
486,0.563
487,0.563
488,0.563
489,0.563
490,0.563
491,0.563
492,0.563
493,0.563
494,0.563
495,0.563
496,0.563
497,0.563
498,0.563
499,0.563
500,0.563
501,0.563
502,0.563
503,0.563
504,0.563
505,0.563
506,0.563
507,0.563
508,0.563
509,0.563
510,0.563
511,0.563
512,0.563
513,0.563
514,0.563
515,0.563
516,0.563
517,0.563
518,0.563
519,0.563
520,0.563
521,0.563
522,0.563
523,0.563
524,0.563
525,0.563
526,0.563
527,0.563
528,0.563
529,0.563
530,0.563
531,0.563
532,0.563
533,0.563
534,0.563
535,0.563
536,0.563
537,0.563
538,0.563
539,0.563
540,0.563
541,0.563
542,0.563
543,0.563
544,0.563
545,0.563
546,0.563
547,0.563
548,0.563
549,0.563
550,0.563
551,0.563
552,0.563
553,0.563
554,0.563
555,0.563
556,0.563
557,0.563
558,0.563
559,0.563
560,0.563
561,0.563
562,0.563
563,0.563
564,0.563
565,0.563
566,0.563
567,0.563
568,0.563
569,0.563
570,0.563
571,0.563
572,0.563
573,0.563
574,0.563
575,0.563
576,0.563
577,0.563
578,0.563
579,0.563
580,0.563
581,0.563
582,0.563
583,0.563
584,0.563
585,0.563
586,0.563
587,0.563
588,0.563
589,0.563
590,0.563
591,0.563
592,0.563
593,0.563
594,0.563
595,0.563
596,0.563
597,0.563
598,0.563
599,0.563
600,0.563
601,0.563
602,0.563
603,0.563
604,0.563
605,0.563
606,0.563
607,0.563
608,0.563
609,0.563
610,0.563
611,0.563
612,0.563
613,0.563
614,0.563
615,0.563
616,0.563
617,0.563
618,0.563
619,0.563
620,0.563
621,0.563
622,0.563
623,0.563
624,0.563
625,0.563
626,0.563
627,0.563
628,0.563
629,0.563
630,0.563
631,0.563
632,0.563
633,0.563
634,0.563
635,0.563
636,0.563
637,0.563
638,0.563
639,0.563
640,0.563
641,0.563
642,0.563
643,0.563
644,0.563
645,0.563
646,0.563
647,0.563
648,0.563
649,0.563
650,0.563
651,0.563
652,0.563
653,0.563
654,0.563
655,0.563
656,0.563
657,0.563
658,0.563
659,0.563
660,0.563
661,0.563
662,0.563
663,0.563
664,0.563
665,0.563
666,0.563
667,0.563
668,0.563
669,0.563
670,0.563
671,0.563
672,0.563
673,0.563
674,0.563
675,0.563
676,0.563
677,0.563
678,0.563
679,0.563
680,0.563
681,0.563
682,0.563
683,0.563
684,0.563
685,0.563
686,0.563
687,0.563
688,0.563
689,0.563
690,0.563
691,0.563
692,0.563
693,0.563
694,0.563
695,0.563
696,0.563
697,0.563
698,0.563
699,0.563
700,0.563
701,0.563
702,0.563
703,0.563
704,0.563
705,0.563
706,0.563
707,0.563
708,0.563
709,0.563
710,0.563
711,0.563
712,0.563
713,0.563
714,0.563
715,0.563
716,0.563
717,0.563
718,0.563
719,0.563
720,0.563
721,0.563
722,0.563
723,0.563
724,0.563
725,0.563
726,0.563
727,0.563
728,0.563
729,0.563
730,0.563
731,0.563
732,0.563
733,0.563
734,0.563
735,0.563
736,0.563
737,0.563
738,0.563
739,0.563
740,0.563
741,0.563
742,0.563
743,0.563
744,0.563
745,0.563
746,0.563
747,0.563
748,0.563
749,0.563
750,0.563
751,0.563
752,0.563
753,0.563
754,0.563
755,0.563
756,0.563
757,0.563
758,0.563
759,0.563
760,0.563
761,0.563
762,0.563
763,0.563
764,0.563
765,0.563
766,0.563
767,0.563
768,0.563
769,0.563
770,0.563
771,0.563
772,0.563
773,0.563
774,0.563
775,0.563
776,0.563
777,0.563
778,0.563
779,0.563
780,0.563
781,0.563
782,0.563
783,0.563
784,0.563
785,0.563
786,0.563
787,0.563
788,0.563
789,0.563
790,0.563
791,0.563
792,0.563
793,0.563
794,0.563
795,0.563
796,0.563
797,0.563
798,0.563
799,0.563
800,0.563
801,0.563
802,0.563
803,0.563
804,0.563
805,0.563
806,0.563
807,0.563
808,0.563
809,0.563
810,0.563
811,0.563
812,0.563
813,0.563
814,0.563
815,0.563
816,0.563
817,0.563
818,0.563
819,0.563
820,0.563
821,0.563
822,0.563
823,0.563
824,0.563
825,0.563
826,0.563
827,0.563
828,0.563
829,0.563
830,0.563
831,0.563
832,0.563
833,0.563
834,0.563
835,0.563
836,0.563
837,0.563
838,0.563
839,0.563
840,0.563
841,0.563
842,0.563
843,0.563
844,0.563
845,0.563
846,0.563
847,0.563
848,0.563
849,0.563
850,0.563
851,0.563
852,0.563
853,0.563
854,0.563
855,0.563
856,0.563
857,0.563
858,0.563
859,0.563
860,0.563
861,0.563
862,0.563
863,0.563
864,0.563
865,0.563
866,0.563
867,0.563
868,0.563
869,0.563
870,0.563
871,0.563
872,0.563
873,0.563
874,0.563
875,0.563
876,0.563
877,0.563
878,0.563
879,0.563
880,0.563
881,0.563
882,0.563
883,0.563
884,0.563
885,0.563
886,0.563
887,0.563
888,0.563
889,0.563
890,0.563
891,0.563
892,0.563
893,0.563
894,0.563
895,0.563
896,0.563
897,0.563
898,0.563
899,0.563
900,0.563
901,0.563
902,0.563
903,0.563
904,0.563
905,0.563
906,0.563
907,0.563
908,0.563
909,0.563
910,0.563
911,0.563
912,0.563
913,0.563
914,0.563
915,0.563
916,0.563
917,0.563
918,0.563
919,0.563
920,0.563
921,0.563
922,0.563
923,0.563
924,0.563
925,0.563
926,0.563
927,0.563
928,0.563
929,0.563
930,0.563
931,0.563
932,0.563
933,0.563
934,0.563
935,0.563
936,0.563
937,0.563
938,0.563
939,0.563
940,0.563
941,0.563
942,0.563
943,0.563
944,0.563
945,0.563
946,0.563
947,0.563
948,0.563
949,0.563
950,0.563
951,0.563
952,0.563
953,0.563
954,0.563
955,0.563
956,0.563
957,0.563
958,0.563
959,0.563
960,0.563
961,0.563
962,0.563
963,0.563
964,0.563
965,0.563
966,0.563
967,0.563
968,0.563
969,0.563
970,0.563
971,0.563
972,0.563
973,0.563
974,0.563
975,0.563
976,0.563
977,0.563
978,0.563
979,0.563
980,0.563
981,0.563
982,0.563
983,0.563
984,0.563
985,0.563
986,0.563
987,0.563
988,0.563
989,0.563
990,0.563
991,0.563
992,0.563
993,0.563
994,0.563
995,0.563
996,0.563
997,0.563
998,0.563
999,0.563
1000,0.563
1001,0.563
1002,0.563
1003,0.563
1004,0.563
1005,0.563
1006,0.563
1007,0.563
1008,0.563
1009,0.563
1010,0.563
1011,0.563
1012,0.563
1013,0.563
1014,0.563
1015,0.563
1016,0.563
1017,0.563
1018,0.563
1019,0.563
1020,0.563
1021,0.563
1022,0.563
1023,0.563
1024,0.563
1025,0.563
1026,0.563
1027,0.563
1028,0.563
1029,0.563
1030,0.563
1031,0.563
1032,0.563
1033,0.563
1034,0.563
1035,0.563
1036,0.563
1037,0.563
1038,0.563
1039,0.563
1040,0.563
1041,0.563
1042,0.563
1043,0.563
1044,0.563
1045,0.563
1046,0.563
1047,0.563
1048,0.563
1049,0.563
1050,0.563
1051,0.563
1052,0.563
1053,0.563
1054,0.563
1055,0.563
1056,0.563
1057,0.563
1058,0.563
1059,0.563
1060,0.563
1061,0.563
1062,0.563
1063,0.563
1064,0.563
1065,0.563
1066,0.563
1067,0.563
1068,0.563
1069,0.563
1070,0.563
1071,0.563
1072,0.563
1073,0.563
1074,0.563
1075,0.563
1076,0.563
1077,0.563
1078,0.563
1079,0.563
1080,0.563
1081,0.563
1082,0.563
1083,0.563
1084,0.563
1085,0.563
1086,0.563
1087,0.563
1088,0.563
1089,0.563
1090,0.563
1091,0.563
1092,0.563
1093,0.563
1094,0.563
1095,0.563
1096,0.563
1097,0.563
1098,0.563
1099,0.563
1100,0.563
1101,0.563
1102,0.563
1103,0.563
1104,0.563
1105,0.563
1106,0.563
1107,0.563
1108,0.563
1109,0.563
1110,0.563
1111,0.563
1112,0.563
1113,0.563
1114,0.563
1115,0.563
1116,0.563
1117,0.563
1118,0.563
1119,0.563
1120,0.563
1121,0.563
1122,0.563
1123,0.563
1124,0.563
1125,0.563
1126,0.563
1127,0.563
1128,0.563
1129,0.563
1130,0.563
1131,0.563
1132,0.563
1133,0.563
1134,0.563
1135,0.563
1136,0.563
1137,0.563
1138,0.563
1139,0.563
1140,0.563
1141,0.563
1142,0.563
1143,0.563
1144,0.563
1145,0.563
1146,0.563
1147,0.563
1148,0.563
1149,0.563
1150,0.563
1151,0.563
1152,0.563
1153,0.563
1154,0.563
1155,0.563
1156,0.563
1157,0.563
1158,0.563
1159,0.563
1160,0.563
1161,0.563
1162,0.563
1163,0.563
1164,0.563
1165,0.563
1166,0.563
1167,0.563
1168,0.563
1169,0.563
1170,0.563
1171,0.563
1172,0.563
1173,0.563
1174,0.563
1175,0.563
1176,0.563
1177,0.563
1178,0.563
1179,0.563
1180,0.563
1181,0.563
1182,0.563
1183,0.563
1184,0.563
1185,0.563
1186,0.563
1187,0.563
1188,0.563
1189,0.563
1190,0.563
1191,0.563
1192,0.563
1193,0.563
1194,0.563
1195,0.563
1196,0.563
1197,0.563
1198,0.563
1199,0.563
1200,0.563
1201,0.563
1202,0.563
1203,0.563
1204,0.563
1205,0.563
1206,0.563
1207,0.563
1208,0.563
1209,0.563
1210,0.563
1211,0.563
1212,0.563
1213,0.563
1214,0.563
1215,0.563
